Category,Item,Qty,Unit Cost (₹),Total (₹),Vendor Options,Priority,Notes,Status,Assigned To
Compute,Raspberry Pi 5 4GB,4,12331,49324,https://robu.in/product/raspberry-pi-5-model-4gb/,High,Shared compute,,
Compute,Arduino Uno Q,4,6550,26200,https://robu.in/product/official-arduino-uno-q-4gb-single-board-computer-abx00173/,High,Shared Compute,,
Compute,Pi 5 Cooler,4,488,1952,https://robu.in/product/official-raspberry-pi-5-active-cooler//,High,Needed Accesory,,
Edge AI,ESP32 S3 Sense,4,1750,7000,https://robocraze.com/products/seeed-studio-xiao-esp32s3-sense?_pos=1&_sid=e052b51b6&_ss=r,High,,,
Edge AI,ESP32 Xiao,5,899,4495,https://robocraze.com/products/seeed-studio-xiao-esp32-s3-development-board-supports-wi-fi-bluetooth-5-0?variant=47775391645920&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,High,Optional track,,
Accessories,SD Cards,4,1529,6116,https://www.amazon.in/SanDisk-Ultra-microSD-UHS-I-120MB/dp/B08L5HMJVW?crid=1ZEQC97IUS081&dib=eyJ2IjoiMSJ9.J2UmMRwe1D4fhKQ8pgLYMpFHakryu5x_GjmI05iXbC3ovPVUapH_WyDYb1j1C_OsF_GL1b7N2JqHXg_p_LElIjFHY5suKa4hR4zipWEDyTuZPXwuw3xBwl6pxoHSEd1svjZKB5Og3vG73_HhSDfIcUDG720Vc2nH-jE6-OXVrySwG12zuxgcxuTDdH9uxxrTFgTW4kXn6HgAeJP_490pOeLNZmrdtf4e03WGBKcRQiw.yvatsi6e0xHM_gObPGTE9ZIRsojaFMEod_tWc4qYPmQ&dib_tag=se&keywords=sd%2Bcard%2B32gb&qid=1775563304&sprefix=sd%2Bcard%2B32gb%2Caps%2C417&sr=8-3&th=1,High,Storage,,
Display,TFT Display,10,294,2940,https://robocraze.com/products/1-8-inch-tft-lcd-module?_pos=7&_sid=10c8a9384&_ss=r,High,,,
Display,0.96 Inch OLED Display,5,209,1045,https://robocraze.com/products/0-96in-oled-display-module-4pin?_pos=7&_sid=ef6118a45&_ss=r,High,Display,,
Infra,12V 5A Power Supply,3,466,1398,https://robocraze.com/products/12v-5a-smps?_pos=1&_sid=78d659704&_ss=r,High,Critical,,
Infra,Wires/Jumper Cables,5,128,640,https://robocraze.com/products/jumper-wire-set-m2m-m2f-f2f-40-pcs-each?variant=40192573636761&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&campaignid=22114711878&adgroupid=&keyword=&device=m&gad_source=1&gad_campaignid=22124708836&gbraid=0AAAAADgHQvZAfHDuXQbt4dSiPIa3PofbE&gclid=Cj0KCQjwp7jOBhDGARIsABe7C4cAferjLDNV2ZklJxS1pa4MKKsMYQqLqgalVQNMoyEXMgCdy6YsSkoaAr3jEALw_wcB,High,cables,,
Infra,Buck Converters,4,229,916,https://robocraze.com/products/12a-300w-dc-dc-buck-converter-step-down-power-module-7-32v-to-0-8-28v?_pos=2&_sid=8c667c7a1&_ss=r,High,Power Modulation,,
Infra,Dc-Dc Boost Adjustable Power Converter,4,153,612,https://robocraze.com/products/150w-dc-dc-boost-adjustable-power-converter?_pos=1&_sid=b35d8f491&_ss=r,High,Power Modulation,,
Infra,Multimeter,2,799,1598,https://robocraze.com/products/ms830l-multimeter?_pos=5&_sid=2cb369450&_ss=r,High,Power Check,,
Sensor,Fingerprint Sensor,3,920,2760,https://robocraze.com/products/r307-optical-fingerprint-sensor-module?_pos=1&_sid=821bce588&_ss=r,High,,,
Sensors,IMU Module,5,465,2325,https://robocraze.com/products/smartelex-micro-ism330dhcx-6dof-imu-sensor?_pos=1&_sid=386adc504&_ss=r,High,Motion,,
Sensors,Mic Module,4,270,1080,https://robocraze.com/products/raspberry-pi-usb2-0-mini-microphone?,High,Voice,,
Sensors,Touch,5,9,45,https://robocraze.com/products/ttp223-touch-switch-module?_pos=1&_sid=cd1a45b90&_ss=r,High,Interaction,,
Sensors,Gesture Sensor,5,349,1745,https://robocraze.com/products/apds-9960-rgb-and-gesture-sensor?_pos=1&_sid=7cc20a95c&_ss=r,High,Interaction,,
Sensors,Relay Modules,4,917,3668,https://robocraze.com/products/5v-8-channel-ssr-module?_pos=12&_sid=0143a8dcf&_ss=r,High,Real-world control,,
Sensors,BME280,2,599,1198,https://robocraze.com/products/7semi-bme280-temperature-humidity-pressure-sensor-nano-breakout?_pos=1&_sid=ee7e3cd28&_ss=r,High,Enviormental Sense,,
Sensors,LoRa,2,450,900,https://robocraze.com/products/sx1278-lora-module-ra-02-433mhz-wireless-spread-spectrum-transmission?_pos=1&_sid=08cef0765&_ss=r,High,Communication,,
Sensors,PAM8403,6,64,384,https://robocraze.com/products/pam-8403-amplifier-module?_pos=4&_sid=8d4cfe8c0&_ss=r,,,,
Sensors,MAX98357A,3,216,648,https://robocraze.com/products/smartelex-max98357a-i2s-audio-breakout-amplifier-for-raspberry-pi-and-microcontrollers?_pos=1&_sid=76b371167&_ss=r,,,,
Infra,Type-C Cables,10,119,1190,https://www.amazon.in/Portronics-Konnect-POR-1403-Charging-Function/dp/B09KH58JZR?crid=1QRA05APCJ5OF&dib=eyJ2IjoiMSJ9.xRuI66iGvZXmQRB9xJyCbXlHR3oWSA-1LPnmduZAbXy5Twu5Gwfwq7I20GofLmCBrAondQVTrcVhj471Ll86X_6FI_jc_0n1Gqr3x1IZqeARK1c3seJOC5knfIyxvkl8nLfag4OZ6r4P16ZqjRUQg-MG-ZDxPk08EIXRgHPM4c5LDIX9Dqx4LQpJfxLfOJlbUVG_XSQS-RtNWgozIkPJEU59qkOPqszevj8C_UyQsfc.vdJOp3u1r3VR16hi6B0BBWPFPfYo31GtKnmqawqOEgU&dib_tag=se&keywords=type%2Bc%2Bcable&qid=1775567976&sprefix=%2Caps%2C430&sr=8-3&th=1,,,,
Infra ,Micro USB Cable,10,129,1290,https://www.amazon.in/Ambrane-RCM-10-Micro-Cable/dp/B09JLLYSJ9?crid=2HXPZP5OFHMAL&dib=eyJ2IjoiMSJ9.mtqBzZnDSiHuSNQpWkJs627NchuzXSGWyrk_egfRFH4PwqGmfePMRSYTvQnRnzDJF-0iX6J0eEJVj2wFim2oqMcpnh4RwNsCayxdZ4ORX4tPidZ96T9zDzH_ZJ04O-blead4Id1gnEuhTDccPTvq_RgTXA7pVwcGZ8OSfcWqZZHhf24CPTw270kmfAe3iaB8pS6G7lfKKf-wOoO_HBiz2ES0Zk_aCZwlKui2dmQFt8w.mbySzbWRhRiYCpe5U5Kz2rF6YcQVIie4RmiWskn0fag&dib_tag=se&keywords=micro+usb+cable&qid=1775569654&sprefix=micro+usb+cable%2Caps%2C400&sr=8-10,,,,
Sensors,SD Card Reader,10,41,410,https://robocraze.com/products/sd-card-module?_pos=1&_sid=956dcc5e1&_ss=r,,,,
,,,Grand Total,121879,,,,,
